Zip code,Latitude,Longitude,Number of Level 2 chargers
49630,46.5451278,-90.0838623,1
49630,46.4727706,-89.9251174,1
49630,46.49079245,-89.98001065,3
49630,46.47040195,-89.55777138,25
49630,46.25229233,-89.16698213,9
49630,46.23670499,-89.38890914,10
49685,44.79636555,-85.63790645,2
49685,44.7604473,-85.58231648,16
49685,44.75529735,-85.61949325,2
49629,44.85214597,-85.53239277,4
49629,44.91342403,-85.51756827,4
49629,44.7743605,-85.4220698,1
49685,44.7673149,-85.49968372,7
49629,44.77664545,-85.49144438,12
49629,44.75180845,-85.40754633,5
49685,44.6572664,-85.6061699,1
49685,44.67042485,-85.6539731,2
49685,44.7296829,-85.71660615,2
49685,44.7270645,-85.8181824,1
49685,44.77978105,-85.72098915,2
49685,44.773896,-85.662327,1
49685,44.72487955,-85.6478798,4
49685,44.61238085,-85.77254635,2
49685,44.6592893,-85.7462629,4
49685,44.66992427,-85.77786273,4
49668,44.5456785,-85.6774826,1
49685,44.63265683,-85.52103217,4
49685,44.74756681,-85.55630556,10
49685,44.7143553,-85.4959414,1
49685,44.6816525,-85.48639165,14
49685,44.7108253,-85.5206174,1
49685,44.6493809,-85.52965705,5
49651,44.57372054,-85.34496994,6
49685,44.5814209,-85.4332047,1
48801,43.3787588,-84.6729186,1
48801,43.3805589,-84.66216535,1
48801,43.4011785,-84.66149105,1
48801,43.3785931,-84.6085708,1
48801,43.2912472,-84.5954505,1
48801,43.3258095,-84.842041,1
49202,41.9444137,-84.6503238,1
49202,41.907738,-84.6243387,2
49202,41.93483285,-84.6325288,2
49202,42.0148943,-84.7200619,1
49202,42.0642783,-84.6806129,1
49202,41.97968495,-84.67348115,2
49202,42.0017774,-84.6127915,1
49202,41.96065395,-84.77996665,2
49202,41.9286499,-84.7860718,1
49221,41.9101472,-84.5671891,1
49202,42.04872455,-84.38088585,2
49221,41.9718112,-84.4304149,1
49202,41.861435,-84.6821814,1
49202,41.912064,-84.690554,1
49221,41.82620235,-84.5388183,2
49221,41.8834073,-84.563421,1
49221,41.7113204,-84.6599676,1
49630,47.1203678,-88.5872805,1
49630,47.12498331,-88.61655933,48
49630,47.12605115,-88.57916585,6
49630,47.1122636,-88.5911174,1
49630,47.1081068,-88.58482645,2
49630,47.1218762,-88.56856873,5
49630,47.09416875,-88.5151925,2
49630,47.12054545,-88.55340345,2
49630,47.124485,-88.5478592,2
49630,46.9095757,-88.5908612,1
49630,47.0702995,-88.5199422,3
49630,47.24451924,-88.43605572,7
49630,47.30225094,-88.37871928,13
49630,47.24055367,-88.45349293,4
49630,47.2469644,-88.4566738,2
49630,47.1910888,-88.4092621,1
49630,47.09868075,-88.42803215,2
49630,47.0252627,-88.52707453,4
49630,47.06811525,-88.64187658,9
49630,47.0079721,-88.7593608,1
49630,47.1371956,-88.8198447,1
49630,47.13819304,-88.69013401,10
48763,43.8168694,-83.0009122,2
48763,44.0436388,-82.99517295,1
48763,44.0237467,-83.0391292,1
48763,43.9146803,-83.3208592,1
48763,43.9607899,-83.2636042,2
48763,43.8990922,-82.6895518,1
48763,43.9435442,-82.7098702,1
48763,43.790937,-83.0633423,1
48823,42.7415856,-84.5550164,1
48823,42.73605123,-84.50620393,4
48842,42.6785365,-84.5225466,1
48842,42.6618369,-84.53754497,4
48823,42.7657913,-84.51245587,3
48823,42.7598023,-84.5111166,1
48823,42.73515915,-84.4791433,2
48823,42.69772835,-84.4999077,2
48823,42.7211588,-84.4544106,3
48823,42.7129649,-84.376086,1
48823,42.68273791,-84.4326819,4
48872,42.6859068,-84.2688454,1
48872,42.7043243,-84.3322452,2
48842,42.6417764,-84.6127083,1
48842,42.5874852,-84.4566787,1
48846,43.0056343,-85.0545805,1
48846,42.98361365,-85.07169335,3
48846,42.9353243,-85.0759093,1
48838,43.1046752,-85.260765,1
48846,43.1166496,-85.1181412,1
48846,42.9537667,-85.2328766,1
48846,42.9862827,-84.9933631,1
48846,43.0090186,-84.9369368,1
48846,42.9234892,-85.2606999,1
48846,42.8847269,-85.0756,1
48837,42.8612111,-84.8840594,1
48846,42.9135158,-85.0740996,1
48846,42.88357855,-85.06809145,3
48763,44.2562447,-83.5302487,1
48763,44.28036838,-83.48128285,5
48763,44.2813553,-83.4943999,2
48750,44.30643837,-83.40049332,13
48750,44.41987618,-83.32795233,17
48750,44.449028,-83.3280411,1
48750,44.49521614,-83.32223073,16
48739,44.3675818,-83.8056116,1
48763,44.3200396,-83.6787526,1
49630,46.0918275,-88.6369089,1
49630,46.1036537,-88.6183956,1
49630,46.046582,-88.51683883,6
